Documento: ejemplos/document-01.txt
Idx	Termino	TF	IDF	TF-IDF
0	a	23	0	0
1	about	9	0	0
3	acceptance	1	0	0
4	accepted	1	1.09861	1.09861
7	across	1	0	0
10	afraid	2	1.09861	2.19722
12	again	1	0.405465	0.405465
13	against	1	1.09861	1.09861
14	ahead	1	0.405465	0.405465
15	air	4	0	0
16	alive	2	0	0
17	all	4	0	0
18	allowed	1	0.405465	0.405465
19	almost	1	1.09861	1.09861
21	along	1	0.405465	0.405465
22	already	1	1.09861	1.09861
24	always	1	0	0
25	an	1	0.405465	0.405465
27	and	21	0	0
28	another	1	0.405465	0.405465
29	anything	2	0	0
35	as	5	0	0
36	ask	1	0.405465	0.405465
38	asleep	1	0.405465	0.405465
39	at	1	0	0
40	attention	2	0	0
44	back	3	0	0
45	balance	1	0	0
46	be	1	0	0
47	beautiful	1	0	0
48	beauty	1	0	0
50	because	2	1.09861	2.19722
52	before	2	0	0
53	began	2	0	0
54	beginning	1	1.09861	1.09861
55	being	1	1.09861	1.09861
56	bend	1	1.09861	1.09861
57	beneath	1	0	0
58	birds	1	0	0
59	both	1	0.405465	0.405465
62	branch	2	1.09861	2.19722
64	breathe	1	1.09861	1.09861
65	breathing	1	0.405465	0.405465
72	brushing	1	0.405465	0.405465
73	busier	1	1.09861	1.09861
75	but	14	0	0
76	by	4	0	0
78	calm	1	0	0
82	care	1	0	0
83	cared	1	1.09861	1.09861
85	carried	2	0	0
86	carry	1	1.09861	1.09861
87	caught	2	0	0
96	closed	1	0	0
99	come	1	1.09861	1.09861
100	comforting	1	0.405465	0.405465
104	connected	1	0	0
109	cool	1	0.405465	0.405465
111	could	3	0	0
112	couldn	1	0.405465	0.405465
114	covered	1	1.09861	1.09861
115	crisp	1	0.405465	0.405465
119	currents	1	0	0
121	dampness	1	1.09861	1.09861
123	darted	1	1.09861	1.09861
125	day	2	0	0
127	decided	1	0	0
128	deeper	1	0	0
129	deeply	1	0	0
131	demand	1	0.405465	0.405465
134	demands	1	1.09861	1.09861
135	details	1	0	0
136	didn	8	0	0
137	different	3	0	0
139	dirt	2	0.405465	0.81093
140	disappeared	1	1.09861	1.09861
142	distractions	1	1.09861	1.09861
144	disturbed	1	1.09861	1.09861
