Documento: /workspaces/modelos_basados_contenido/samples/new_docs/doc01.txt
Idx	Termino	TF	IDF	TF-IDF
5	al	1	2.30259	2.30259
6	alfombra	1	2.30259	2.30259
38	duerme	1	2.30259	2.30259
40	el	1	0.356675	0.356675
41	en	2	1.60944	3.21888
49	gata	1	2.30259	2.30259
50	gato	2	2.30259	4.60517
58	la	3	0.356675	1.07002
66	maulla	1	2.30259	2.30259
70	mira	1	2.30259	2.30259
78	negro	1	2.30259	2.30259
79	noche	1	2.30259	2.30259
121	y	1	0.105361	0.105361

Documento: /workspaces/modelos_basados_contenido/samples/new_docs/doc02.txt
Idx	Termino	TF	IDF	TF-IDF
0	a	1	2.30259	2.30259
15	buscan	1	2.30259	2.30259
22	clientes	1	2.30259	2.30259
30	crece	1	2.30259	2.30259
39	econom	1	2.30259	2.30259
58	la	1	0.356675	0.356675
60	lentamente	1	2.30259	2.30259
62	local	1	1.20397	1.20397
63	los	1	0.916291	0.916291
67	mejoran	1	2.30259	2.30259
77	negocios	1	2.30259	2.30259
82	os	1	1.60944	1.60944
92	peque	1	2.30259	2.30259
105	servicio	1	2.30259	2.30259
110	su	1	2.30259	2.30259
121	y	1	0.105361	0.105361

Documento: /workspaces/modelos_basados_contenido/samples/new_docs/doc03.txt
Idx	Termino	TF	IDF	TF-IDF
4	agua	1	2.30259	2.30259
16	ca	1	2.30259	2.30259
31	crecer	1	2.30259	2.30259
32	da	1	2.30259	2.30259
34	del	1	1.60944	1.60944
47	flores	2	2.30259	4.60517
57	jard	1	2.30259	2.30259
58	la	1	0.356675	0.356675
59	las	2	1.60944	3.21888
61	lluvia	1	2.30259	2.30259
74	n	1	1.20397	1.20397
76	necesitan	1	2.30259	2.30259
88	para	1	2.30259	2.30259
101	reg	1	2.30259	2.30259
108	sol	1	2.30259	2.30259
121	y	1	0.105361	0.105361

Documento: /workspaces/modelos_basados_contenido/samples/new_docs/doc04.txt
Idx	Termino	TF	IDF	TF-IDF
3	aficionados	1	2.30259	2.30259
20	celebraron	1	2.30259	2.30259
27	con	1	1.60944	1.60944
33	de	1	1.20397	1.20397
40	el	2	0.356675	0.71335
41	en	2	1.60944	3.21888
45	f	1	1.60944	1.60944
52	gol	1	2.30259	2.30259
58	la	1	0.356675	0.356675
63	los	1	0.916291	0.916291
64	ltimo	1	2.30259	2.30259
69	minuto	1	2.30259	2.30259
89	partido	1	2.30259	2.30259
94	plaza	1	2.30259	2.30259
112	tbol	1	2.30259	2.30259
114	termin	1	2.30259	2.30259
117	un	1	2.30259	2.30259

Documento: /workspaces/modelos_basados_contenido/samples/new_docs/doc05.txt
Idx	Termino	TF	IDF	TF-IDF
7	apio	1	2.30259	2.30259
19	cebolla	1	2.30259	2.30259
24	cocinar	1	2.30259	2.30259
33	de	1	1.20397	1.20397
53	incluye	1	2.30259	2.30259
58	la	1	0.356675	0.356675
85	paciencia	1	2.30259	2.30259
91	patata	1	2.30259	2.30259
100	receta	1	2.30259	2.30259
102	requiere	1	2.30259	2.30259
109	sopa	1	2.30259	2.30259
118	una	1	2.30259	2.30259
119	verduras	1	2.30259	2.30259
121	y	1	0.105361	0.105361
122	zanahoria	1	2.30259	2.30259

Documento: /workspaces/modelos_basados_contenido/samples/new_docs/doc06.txt
Idx	Termino	TF	IDF	TF-IDF
1	aceleran	1	2.30259	2.30259
10	artificial	1	2.30259	2.30259
17	cambio	1	2.30259	2.30259
40	el	1	0.356675	0.356675
51	gicas	1	2.30259	2.30259
54	industrias	1	2.30259	2.30259
55	innovaciones	1	2.30259	2.30259
